original_title,overview
Saint Tropez - Saint Tropez,"Four stories of love are interwoven on the beautiful, coastal paradise of Saint Tropez."
L'an 01,"The film narrates a utopian abandonment, consensual and festive of the market economy and high productivity. The population decides on a number of resolutions beginning with ""We stop everything"" and the second ""After a total downtime will be revived-reluctantly-that the services and products including lack will prove intolerable. Probably: water to drink, electricity for reading at night, the TSF to say ""This is not the end of the world, this is an 01, and now a page of Celestial Mechanics"". The implementation of these resolutions is the first day of a new era, Year 01. The Year 01 is emblematic of the challenge of the 1970s and covers such diverse topics as ecology, negation of authority, free love, communal living, rejection of private property and labor."
The Staircase II: The Last Chance,"Explosive developments - implicating both the forensics laboratory of the police department of North Carolina, and Duane Deaver, its chief - shed new light on the case of murder suspect Michael Peterson."
"Chill Out, Scooby-Doo!","The gang's vacation to Paris takes a wrong turn when Scooby and Shaggy miss their flight and end up on a skydiving expedition in the Himalayas. To make matters worse, upon arrival they must outrun the Abominable Snowmonster."
Doctor Who: The Next Doctor,"The Doctor arrives in Victorian London, it's Christmas, but the snow isn't the only thing descending on the tranquil and jubilant civilization...familiar silver giants of an alternate reality are amassing in numbers, The Cybermen are on the move again, and the only beings who can stop them are The Doctor...and another Doctor?"
령,"A teenage girl suffering from amnesia discovers that she is somehow connected to a group of people who are being killed off one by one by a vengeful ghost. Min Ji-Won (Kim Ha-Neul) suffers from amnesia caused by an accident almost a year ago. After the accident, Min Ji-Won is a shy person. Prior to the accident, Min Ji-Won was the leader of a gang of four girl bullies. Through pictures, Min Ji-Won learns about the three other members and she wants to learn what happened to them. While Min Ji-Won attempts to unravel the mystery, her former friends are killed one by one ..."
Dickson Experimental Sound Film,William K.L. Dickson plays the violin while two men dance. This is the oldest surviving sound film where sound is recorded on the phonograph.
Sometimes in April,"Debra Winger, Oris Erhuero and Idris Elba star in this drama framed by the Rwandan genocide."
Comedian,"A look at the work of two stand-up comics, Jerry Seinfeld and a lesser-known newcomer, detailing the effort and frustration behind putting together a successful act and career while living a life on the road."
L'udienza,Caustic satire on bureaucracy of the Vatican authority and a simple Italian who wants to achieve the audience with the Pope.
Charade,"After Regina Lampert falls for the dashing Peter Joshua on a skiing holiday in the French Alps, she discovers upon her return to Paris that her husband has been murdered. Soon, she and Peter are giving chase to three of her late husband's World War II cronies, Tex, Scobie and Gideon, who are after a quarter of a million dollars the quartet stole while behind enemy lines. But why does Peter keep changing his name?"
The Everyday,"Interviews about the film ""Meanwhile"" with director Hal Hartley, actor DJ Mendel, and editor Kyle Gilman."
男兒本色,"Three cops team up to bring down a criminal gang of seven, who have their own hidden agenda."
Hysteria: The Def Leppard Story,"A dramatization of the early years of the hard rock band, Def Leppard, the group faces both success and personal tragedies such as drummer, Rick Allen losing his arm in a car accident and guitarist Steve Clark's alcohol addiction."
Yumurta,"Poet Yusuf (35-38) returns to his childhood hometown, which he hadn't visited for years, upon his mother's death. He is faced with a neglected, crumbling house. Ayla, a young girl (17-19) awaits him there. Yusuf has been unaware of the existence of this distant relation who had been living with his mother for five years; He stays by his dead mother's bedside for a while on the morning of his return..."
Lanse Gutou,An unhappy love story under the Cultural Revolution in China seen from the son who was born from that romance - who is now a Chinese rock star
Strangeland,"A pierced and tattooed sadist, Captain Howdy, trolls the Internet for naive teens, luring them to his home to torture and defile them. When Howdy kidnaps and tortures the daughter of police Detective Mike Gage, he is caught. Deemed insane, he is sent to an asylum but is released soon after, seemingly better. However, Gage knows it is only a matter of time before Howdy strikes again, and he's ready to unleash his own form of retribution when the time comes."
The Mind Snatchers,A German scientist works on a way of quelling overly aggressive soldiers by developing implants that directly stimulate the pleasure centers of the brain.
The Cossacks,"Stirring romance, hard riding, desperate fighting with the Cossacks playing their game of war and chivalry. A mighty picturization of Count Leo Tolstoi's famous novel of the same name."
The Furies,"A New Mexico cattle man and his strong-willed daughter clash over the man's choice for a new bride. Things get worse when the elder man has his daughter's lover hanged. With the help of an old flame, a gambler, the daughter puts into motion a plan to drive her father from his estate."
Dreamboat,"Thornton Sayre (Clifton Webb), a respected college professor - secretly formerly a Silent films romantic action hero - is disturbed, feeling his privacy has been violated, and his professional credibility as a scholar jeopardized, when he learns his old movies have been resurrected and are being aired on TV. He sets out to demand this cease. However, his former co-star (Ginger Rogers) is the hostess of the TV show playing the films, and she has other plans."
Le métis de Dieu,"The Jewish Cardinal tells the amazing true story of Jean-Marie Lustiger, the son of Polish-Jewish immigrants, who maintained his cultural identity as a Jew even after converting to Catholicism at a young age, and later joining the priesthood. Quickly rising within the ranks of the Church, Lustiger was appointed Archbishop of Paris by Pope John Paul II―and found a new platform to celebrate his dual identity as a Catholic Jew, earning him both friends and enemies from either group. When Carmelite nuns settle down to build a convent within the cursed walls of Auschwitz, Lustiger finds himself a mediator between the two communities―and he may be forced, at last, to choose his side."
La Nouvelle Guerre des boutons,"Occupied France; Lebrac leads a play war between two rival kid gangs, but a girl he likes, who's Jewish, is in danger of being discovered by local Nazi sympathisers. Lebrac and the village must now respond to the reality of what's happening."
Kådisbellan,"Stocholm in the 1920s. Young Roland lives with his socialist father, Jewish mother and a boxing brother. His mother sells condoms illegally, and from them, Roland makes slingshots which he sells. His rebellious ways has gotten him the special attention of his school teacher, who always makes sure that Roland is punished. Roland also tries to make extra money by repairing bicycles, a successful business that in the end lands him in hot water."
L'appât,"With the ambition to start a boutique overseas but without the means to do so, Nathalie finds herself in a desperate situation, where she would do anything to acquire what she needs. Along with her boyfriend, Eric, and his friend Bruno, she concocts a plan where she seduces clueless men and accompanies them to their places, then allows Eric and Bruno to break in. But the three soon encounter trouble after one of their schemes ends in murder."
Marilyn Hotchkiss' Ballroom Dancing & Charm School,"Writer-director Randall Miller's heart-achingly sweet drama centers on the unsatisfying personal life of protagonist Frank Keane (Robert Carlyle), a sensitive baker who remains deeply despondent over his late wife's untimely death. When Frank helps a stranger (John Goodman) who's sidelined by a fatal accident on his way to a fateful reunion, he decides to show up for the rendezvous in the man's place. In the process, he finds hope and redemption."
The Big Land,"Back home in Texas following the Civil War, former Confederate officer Chad Morgan (Alan Ladd) leads a cattle drive to Missouri, assuring fellow ranchers that their stock will bring $10 a head at auction. Instead, ruthless cattle baron Brog (Anthony Caruso) has scared off all competition and offers much less."
Remarkable Power,"A late night talk show host masterminds an elaborate scheme to save his canceled show and avenge his wife's affair, entangling an eclectic collection of tinsel towners in the process."
The Lost Arcade,"Chinatown Fair opened as a penny arcadeon Mott Street in 1944. Over the decades, the dimly lit gathering place, known for its tic-tac-toe playing chicken, became an institution, surviving turf wars between rival gangs, changing tastes and the explosive growth of home gaming systems like Xbox and Playstation that shuttered most other arcadesin the city. But as the neighborhood gentrified, this haven for a diverse, unlikely community faced its strongest challenge, inspiring its biggest devotees to next-level greatness."
Vanessa,Olivia Pascal stars as Vanessa who was raised in a convent after the death of her parents. Due to an inheritance she travels to Hong Kong to find out the inheritance is a chain of bordellos
Elvis & Nixon,"In 1970, a few days before Christmas, Elvis Presley showed up on the White House lawn seeking to be deputized into the Bureau of Narcotics and Dangerous Drugs by the President himself."
L'allenatore nel pallone,"Trainer Oronzo Canà is called to manage Longobarda, the team of a small town of Northern Italy, when it's promoted to the First Division. His only task is not to go back to the Second Division, but even the team's owner plays against Longobarda since the First Division is too expensive, and the young Brazilian player bought for the team is affected by deep 'saudade'. Written by Alessio F. Bragadini"
The Holy Land,"A coming-of-age saga set against the tense backdrop of Arab-Israeli politics. Mendy is a young Rabbinical student whose mind is too full of curiosity about the world that exists outside the restrictions of Orthodox Judaism. Recognizing his distraction, Mendy's teacher suggests that he visit a prostitute to get it out of his system. But on a fateful night, when he meets Sacha, a captivating Russian expatriate, who works in a Tel Aviv bordello, his appetite for outside experience only grows stronger."
கடல்,A wrongdoer is caught red-handed and he is not going to forgive the man who exposed him.
In Darkness,"A dramatization of one man's rescue of Jewish refugees in the Nazi-occupied Polish city of Lvov. In Darkness tells the true story of Leopold Soha who risks his own life to save a dozen people from certain death. Initially only interested in his own good, the thief and burglar hides Jewish refugees for 14 months in the sewers of the Nazi-occupied town of Lvov (former Poland)."
'Neath the Arizona Skies,"Chris Morrell, the guardian of half-Indian girl Nina, is helping her find her missing white father. so she can cash in on her late mother's oil lease. Outlaw Sam Black is after the girl and her father as well. Besides dealing with the Black gang, Morrell has to find another robber, Jim Moore, who switches clothes with him after he finds Chris unconscious from a fight with Sam Black. Along the way, he meets a lady who's the sister of Jim Moore, another bad hombre who's in cahoots with Jim Moore, and an old friend who takes in Nina and helps Chris locate Nina's father and fight off the various desperadoes"
Where Angels Fear to Tread,"The widow Lilia Herriton meets a young man when she visits Italy and marries him. The man is only a dentist without a good name, and Lilia's relatives are clearly unhappy with her choice. Lilia dies while giving birth to a son, and two relatives travel to Italy to take care of of the baby, expecting no trouble from the father."
"Merry Christmas, Drake and Josh","While trying to avoid an obsessed girl, rocker Drake Parker meets a young girl, who makes him promise to give her family the best Christmas ever. Later, at the Premiere's first ever Christmas party, a group of teens start to make trouble. Concerned, Josh, Drake's stepbrother, calls the cops about a disturbance, but they are confused and think the entire party is the disturbance, and even arrest the kind Josh. Requiring Josh's help to keep his promise, Drake tries to break his brother out of prison, but is caught. At court, the judge decides that the two must give the girl and her foster family the best Christmas ever, or face years in jail. They face many problems along the way, including Officer Perry, a strict detective that hates Christmas; a colorful group of foster children; and a wild wood chipper. It is up to Drake and Josh to save Christmas for the good-hearted children, or face the consequences."
Week-End at the Waldorf,"Anything can happen during a weekend at New York's Waldorf-Astoria: a glamorous movie star meets a world-weary war correspondent and mistakes him for a jewel thief; a soldier learns that without an operation he'll die and so looks for one last romance with a beautiful but ambitious stenographer; a cub reporter tries to get the goods on a shady man's dealing with a foreign potentate. And it all happens in the opulent, grandiose New York landmark hotel as a sort of tongue-in-cheek take-off on the classic movie Grand Hotel."
The Heavenly Body,The beautiful wife of a tweedy astronomer becomes convinced that her astrologer's prediction of a new dream man in her life will come true.
Take a Hard Ride,"After his cattle rancher boss dies, right-hand man Pike is given the job of returning $86,000 to some families who live across the border in Senora, Mexico. Honest Pike is joined on the trip through the wilderness by a dishonest gambler named Tyree"
Twist of Faith,"A man confronts the trauma of past sexual abuse as a boy by a Catholic priest only to find his decision shatters his relationships with his family, community and faith."
Lady Gangster,"An actress gets involved with a criminal gang and winds up taking the rap for a $40,000 robbery. Before being sent to prison, she steals the money from her partners and hides it, she is thinking to use it as a bargaining chip to be released from prison. However, her former partners don´t have the same ideas."
トップをねらえ！＆トップをねらえ２！合体劇場版!!,"This double feature comprises of Gunbuster and Die Buster (aka Gunbuster 2) condensed them into a single theatrical release told in two parts with a musical intermission in between. The first part, Gunbuster the Movie, condenses the six episodes of the original OVA into a 95-minute moviefeaturing a new 5.1 audio remix and a redub by the original Japanese cast. The second part, Die Buster the Movie, mixes large chunks of the second OVA series with a few altered or newly-animated scenes to create a truncated take on Nono's story."
Monster High: Scaris City of Frights,"The Monstruitas of Monster High are obsessed with going to Scaris, The City of Frights for Fashion international competition where the winner will become the apprentice of the world famous Madame Ghostier designer."
黑拳,"A young man learns the fighting techniques of Sanda from a coach. The two become best friends as the young man prepares to enter an underground tournament, competing against some of the top fighters of the world."
The Manxman,A fisherman and a rising lawyer who grew up as brothers fall in love with the same woman.
The Conclave,"In 1458, five years after the fall of Constantinople to the Moslems, eighteen cardinals meet to elect a new pope. Rodrigo Borgia, a 27 year old cardinal learns to play a very dangerous game."
Omen IV: The Awakening,"Damien Thorn is dead, but his prophecy is reborn in a girl named Delia, who is adopted by two attorneys, Gene &amp; Karen York. When Karen realises her baby was born under suspicious circumstances, she hires a private investigator to find Delia's real parents. A series of bizarre accidents occur, and Karen begins to suspect everyone of conspiring her as she unravels the truth about her baby."
Daniel Tosh: Completely Serious,"Fresh from his numerous appearances on late night TV and Comedy Central, cutting-edge comic Daniel Tosh brings his seriously funny brand of contemporary comedy to this riotous standup special. Like your Tosh a little raunchy? His unfiltered routine is here, along with a more family-friendly version that will have Grandma laughing, too."
Honkytonk Man,Young boy leaves the Oklahoma farm to travel with his country musician uncle who is trying out for the Grand Ole Opry. Set during the Great Depression.
"The Bread, My Sweet","Dominic works round the clock: nights making biscotti for his family's bakery in a working-class Italian neighborhood in Pittsburgh, then days downtown where he's a specialist in firing people at a company that negotiates mergers. He's thrown for a loop with he learns that Bella, an elderly neighbor who's his family's closest friend, has but a few months to live. All her life, she's saved money in coffee cans for her daughter, Lucca's, wedding, but Lucca is off in foreign lands, initially as a Peace Corps volunteer, and doesn't need a man. Dominic vows to bring Lucca home and convince her to marry him to fulfill Bella's most fervent wish. What will Lucca say?"
The Prime Gig,"Pendelton ""Penny"" Wise is a smooth-talking con-artist who makes a living by scamming people with phoney travel comp vacations over the phone when, desperate for more fast cash, he's called to work for a shady, veteran con businessman, named Kelly Grant, in selling property for a gold mine over the phone, which takes a turn when Penny begins a relationship with Grant's mistress Caitlin, where Penny throws common sense and caution to the wind to woo her, while we wonder who is scamming who here. Written by Matthew Patay"
Uitgesloten,"Uitgesloten is set in 1983. Jonathan is 18 and, just like his best friend Coen, he has grown up in the Jehovah's Witnesses. In this world with its strict rules, Jonathan and Coen however have their own ideas. Both have girlfriends, Marjan and Annemiek, who live in a very different world: the girls study at art school and mix with squatters. The boys do not tell their girlfriends about their background and they anxiously keep Marjan and Annemiek hidden from their own community. The friends lead a double life: they ring doorbells to distribute the Ontwaakt! and play in a band for the Jehovah's Witnesses, while they also visit ska concerts and squatters' bars and become increasingly caught up in the worldly life of Marjan and Annemiek."
Scanners,"Darryl Revok is the most powerful of all the scanners, and is the head of the underground scanner movement for world domination. Scanners have great psychic power, strong enough to control minds; they can inflict enormous pain/damage on their victims. Doctor Paul Ruth finds a scanner that Revok hasn't, and converts him to their cause - to destroy the underground movement."
Bring It On,"The Toro cheerleading squad from Rancho Carne High School in San Diego has got spirit, spunk, sass and a killer routine that's sure to land them the national championship trophy for the sixth year in a row. But for newly-elected team captain, the Toros' road to total cheer glory takes a shady turn when she discovers that their perfectly-choreographed routines were in fact stolen."
Blind Spot,A mystery writer becomes the prime suspect in a murder investigation when a publisher he last saw is found dead.
Bitten,"A lovelorn paramedic rescues a woman left for dead after a deadly assault. When she refuses to go to the hospital, he takes her in, nurses her back to health and soon falls in love with her. Before long the mysterious woman suffers withdrawal symptoms, leaving the paramedic to believe his newfound love is a drug addict. Coming home to find a blood-drained corpse on his floor, he learns she does indeed have an addiction problem but it's not to drugs..."
Touchback,"A former high-school football star loses his shot at a college scholarship due to a devastating gridiron injury, but gets a second chance at living his dream."
Steve McQueen: The Man & Le Mans,Steve McQueen: The Man &amp; Le Mans interweaves stunning newly discovered footage and voice recordings with original interviews. It is the true story of how a cinema legend would risk almost everything in pursuit of his dream.
Eldfjall,Hannes is an old man who has grown apart from his children. Recently retired when his wife gets ill he tries to reconcile with them and to atone for his cold demeanor in the past.
Kino Lika,"A godforsaken mountain village is the only home that a young football player, a miser peasant and a fat girl have. This isolated part of the country finds itself in the middle of the referendum for or against the EU. Our characters couldn't care less - they are absorbed in their problems. The young football player who accidentally killed his mother doesn't want to join a rich foreign football team and is willing to risk his father's love because of it. The lonely fat girl is so desperate for a friend and for a lover that she will end up seeking both in the pig-sty. The miser peasant will find out that the real misery is in loneliness."
Nisos 2: To kynigi tou hamenou thisavrou,"Ο Μπάμπης (Βλαδίμηρος Κυριακίδης), ο Άγης (Δημήτρης Τζουμάκης) και η Αφροδίτη (Ζέτα Δούκα) εκτίουν τις ποινές τους. Η μοίρα τα φέρνει έτσι που δύο μόλις ημέρες πριν την αποφυλάκιση, Μπάμπης και Αφροδίτη, γίνονται κατά λάθος μάρτυρες της εξομολόγησης ενός ετοιμοθάνατου βαρυποινίτη στον παπά Λάμπρο. Μαθαίνουν για την ύπαρξη ενός μεγάλου θησαυρού στο νησί, από τα χρόνια της τουρκοκρατίας, η θέση του οποίου υπάρχει σημειωμένη σε κάποιο χάρτη διαιρεμένου σε δύο κομμάτια."
This Isn't Funny,Meeting the right person at the wrong time can be the best thing that ever happened to you.
Porta dos Fundos: Contrato Vitalício,"Two friends, Michael Director and actor Rodrigo, receive the grand prize of the jury in a trendy international film festival. After too much drink, Rodrigo signed a contract to participate in the upcoming film of the filmmaker. Miguel disappears and reappears ten years later with a proposal to make a long delirious. Rodrigo is already famous and distrusts the health director. To make matters worse, you realize that to honor the contract will be required to make a film that can destroy not only his career but his life."
ബാംഗ്ലൂർ ഡെയ്സ്,"A fun roller coaster ride about three young people, Aju, Divya and Kuttan who are cousins, reach Bangalore to dream, discover & explore!"
Performance,"A young gangster Chas Devlin (James Fox) seeks refuge from the mob in a basement belonging to a reclusive, fading rock star Turner (Mick Jagger). In 'underworld' terms, Chas is a 'performer', a gangster with a talent for violence and intimidation. After taking a trip, he begins to cross dress and experiment with his sexuality. The directorial debut of Nicolas Roeg explores both the liberating impulses and threat of anarchy which provided the twin motors of the 'Swinging Sixties'."
Hide in Plain Sight,True story of a divorced father in search of his children when his ex-wife enters the witness relocation program.
These Amazing Shadows,"Documentary about the National Film Registry, featuring clips of films that have been included in the registry, as well as interviews with members of the National Film Registry Board."
Dumbo,Dumbo is a baby elephant born with oversized ears and a supreme lack of confidence. But thanks to his even more diminutive buddy -- Timothy the Mouse -- the pint-sized pachyderm learns to surmount all obstacles.
Turist,"While holidaying in the French Alps, a Swedish family deals with acts of cowardliness as an avalanche breaks out."
A Thousand Men and a Baby,"An American soldier finds an abandoned baby in a dumpster. The aircraft's crew welcomed him enthusiastically to provide necessary medical care, but the Korean authorities want to avoid calling the commander to let him in an orphanage. Telefilm based on a true story that occurred in 1953."
